#,,base:cevent_speech_anaphora-referent,,,,,cevent_eye_roi_child,,,,,,cevent_eye_roi_parent,,,,,
#,,,,,,,individual_prop,,individual_mean_dur,,individual_freq,,individual_prop,,individual_mean_dur,,individual_freq,
#,,,,,,,target,other,target,other,target,other,target,other,target,other,target,other
#subID,expID,onset,offset,category,trialsID,instanceID,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all,cat-all
1202,12,325.22,326.11,8,1,27,0,0.65374,0,0.57845,0,67.81,0,1,0,0.88483,0,67.81
1202,12,325.22,326.11,17,1,28,0,0.65374,0,0.57845,0,67.81,0,1,0,0.88483,0,67.81
1202,12,325.22,326.11,24,1,29,0,0.65374,0,0.57845,0,67.81,0,1,0,0.88483,0,67.81
1202,12,385.51,387.21,9,1,30,0,1,0,1.7051,0,35.188,0.8153,0,1.3902,0,35.188,0
1202,12,388.5,389.84,9,1,31,0.30352,0.69648,0.40845,0.93723,44.587,44.587,0.052439,0.47064,0.070566,0.63333,44.587,44.587
1202,12,392.74,394.87,9,1,32,0,0.31191,0,0.33204,0,56.361,0,0.95303,0,0.67637,0,84.542
1202,12,392.74,394.87,9,1,33,0,0.31191,0,0.33204,0,56.361,0,0.95303,0,0.67637,0,84.542
1202,12,509.69,510.81,8,1,34,1,0,1.1245,0,53.358,0,0.13157,0,0.14794,0,53.358,0
1202,12,513.25,514,8,1,35,1,0,0.75579,0,79.387,0,1,0,0.75579,0,79.387,0
1202,12,516.68,517.53,8,1,36,1,0,0.85718,0,69.997,0,1,0,0.85718,0,69.997,0
1202,12,539.08,540.64,1,1,37,0.17596,0.31045,0.27408,0.48359,38.519,38.519,0.28906,0.36379,0.45025,0.56667,38.519,38.519
1202,12,539.08,540.64,15,1,38,0.31045,0.17596,0.48359,0.27408,38.519,38.519,0.36379,0.28906,0.56667,0.45025,38.519,38.519
1202,12,546.71,547.49,1,1,39,0.11012,0.76071,0.085261,0.58897,77.497,77.497,0.32539,0,0.25193,0,77.497,0
1202,12,558.76,560.48,15,1,40,0,0.12662,0,0.21824,0,34.811,0.27385,0.70681,0.472,1.2182,34.811,34.811
1202,12,565.23,566.87,15,1,41,0,0.89738,0,1.4723,0,36.571,1,0,1.6406,0,36.571,0
1202,12,568.38,570.02,1,1,42,1,0,1.6314,0,36.778,0,0.091627,0.65383,0.14948,1.0667,36.778,36.778
1204,12,55.648,57.603,15,1,1,0,0.035606,0,0.069608,0,30.692,0.28235,0.42778,0.55197,0.41814,30.692,61.384
1204,12,55.648,57.603,15,1,2,0,0.035606,0,0.069608,0,30.692,0.28235,0.42778,0.55197,0.41814,30.692,61.384
1204,12,67.717,69.239,14,1,3,0.47067,0.19702,0.71669,0.3,39.404,39.404,0.71147,0.20097,1.0834,0.30601,39.404,39.404
1204,12,69.997,71.354,14,1,4,1,0,1.3565,0,44.232,0,0.19852,0.4083,0.26929,0.55385,44.232,44.232
1204,12,73.262,76.042,14,1,5,0.49331,0.37178,1.3711,0.51667,21.587,43.174,0.6732,0.13492,1.8711,0.37499,21.587,21.587
1204,12,76.993,78.555,14,1,6,1,0,1.5626,0,38.397,0,0.44797,0.27732,0.7,0.43333,38.397,38.397
1204,12,241.57,242.5,1,1,7,0.21709,0.39388,0.20209,0.36667,64.453,64.453,1,0,0.93091,0,64.453,0
1204,12,241.57,242.5,15,1,8,0.39388,0.21709,0.36667,0.20209,64.453,64.453,0,1,0,0.93091,0,64.453
1204,12,249.6,251.39,15,1,9,0,0.014305,0,0.025635,0,33.482,1,0,1.792,0,33.482,0
1205,12,67.09,67.746,3,1,1,0,0.018692,0,0.012257,0,91.503,0.72713,0,0.47679,0,91.503,0
1205,12,75.712,76.159,8,1,2,1,0,0.44675,0,134.3,0,1,0,0.44675,0,134.3,0
1205,12,83.914,84.571,9,1,3,0,1,0,0.65716,0,91.303,1,0,0.65716,0,91.303,0
1205,12,88.988,89.989,17,1,4,1,0,1.0016,0,59.905,0,1,0,1.0016,0,59.905,0
1205,12,92.001,93.339,17,1,5,1,0,1.3374,0,44.864,0,1,0,1.3374,0,44.864,0
1205,12,100.6,101.12,17,1,6,0,0,0,0,0,0,0.41979,0.38746,0.21779,0.20102,115.65,115.65
1205,12,115.43,116.63,17,1,7,0.44143,0.30617,0.52865,0.36667,50.101,50.101,1,0,1.1976,0,50.101,0
1205,12,117.31,118.35,17,1,8,0.5709,0,0.59402,0,57.665,0,1,0,1.0405,0,57.665,0
1205,12,130.33,133.74,12,1,9,0.68374,0.21618,2.3333,0.36886,17.582,35.164,0.8815,0.089195,3.0082,0.30439,17.582,17.582
1205,12,234.26,235.2,22,1,10,0,0,0,0,0,0,1,0,0.93818,0,63.954,0
1205,12,236.74,237.72,22,1,11,0.15192,0,0.14844,0,61.407,0,0.69776,0.23401,0.68177,0.22865,61.407,61.407
1205,12,253.69,255.66,23,1,12,0.25474,0.7113,0.5,0.69808,30.568,61.137,0.85201,0,1.6723,0,30.568,0
1205,12,257.56,259.19,23,1,13,0,0,0,0,0,0,0,0.9387,0,0.76568,0,73.558
1205,12,261.75,262.78,15,1,14,0.49532,0.47238,0.51109,0.48742,58.148,58.148,0.46301,0,0.47776,0,58.148,0
1205,12,315.34,316.7,19,1,15,1,0,1.3547,0,44.292,0,0,1,0,1.3547,0,44.292
1205,12,332.14,333.04,8,1,16,0,1,0,0.89926,0,66.721,0,0.8888,0,0.39963,0,133.44
1205,12,335.43,337,2,1,17,0.32058,0,0.5045,0,38.126,0,0,0.78819,0,0.62019,0,76.253
1205,12,350.94,351.69,21,1,18,1,0,0.75515,0,79.454,0,0.30371,0,0.22934,0,79.454,0
1205,12,395.57,396.03,2,1,19,0,1,0,0.4554,0,131.75,0,0.85361,0,0.19436,0,263.51
1206,12,35.357,38.981,17,1,1,0.26954,0.61089,0.4884,1.1069,33.113,33.113,1,0,3.624,0,16.556,0
1206,12,40.338,41.394,17,1,2,1,0,1.0564,0,56.796,0,1,0,1.0564,0,56.796,0
1206,12,43.248,48.397,17,1,3,1,0,5.1491,0,11.652,0,1,0,5.1491,0,11.652,0
1206,12,53.267,59.99,17,1,4,0.73227,0,1.6411,0,26.773,0,0.94048,0.014897,6.3231,0.10016,8.9243,8.9243
1206,12,53.267,59.99,17,1,5,0.73227,0,1.6411,0,26.773,0,0.94048,0.014897,6.3231,0.10016,8.9243,8.9243
1206,12,63.523,67.077,24,1,6,0.31236,0.39689,0.55506,1.4106,33.765,16.882,0.68764,0.25324,1.2219,0.9,33.765,16.882
1206,12,63.523,67.077,24,1,7,0.31236,0.39689,0.55506,1.4106,33.765,16.882,0.68764,0.25324,1.2219,0.9,33.765,16.882
1206,12,67.65,68.945,24,1,8,0.086073,0.42459,0.1114,0.54954,46.358,46.358,0,0.37308,0,0.24144,0,92.716
1206,12,69.546,75.71,17,1,9,0.30286,0.63765,1.8667,1.9651,9.7346,19.469,1,0,6.1636,0,9.7346,0
1206,12,69.546,75.71,17,1,10,0.30286,0.63765,1.8667,1.9651,9.7346,19.469,1,0,6.1636,0,9.7346,0
1206,12,76.2,79.383,17,1,11,0,1,0,3.1832,0,18.849,1,0,3.1832,0,18.849,0
1206,12,76.2,79.383,17,1,12,0,1,0,3.1832,0,18.849,1,0,3.1832,0,18.849,0
1206,12,125.45,128.84,12,1,13,0.54287,0.36853,1.8382,0.62394,17.719,35.439,0.56112,0.11813,0.95,0.4,35.439,17.719
