subID,onset,offset,refID,cue,type,prop-target,prop-other,cat-1,cat-2,cat-3,cat-4,cat-5,cat-6,cat-7,cat-8,cat-9,cat-10,cat-11,cat-12,cat-13,cat-14,cat-15,cat-16,cat-17,cat-18,cat-19,cat-20,cat-21,cat-22,cat-23,cat-24,cat-25
1212,30,31.224,16,2,1,0.5099,0.27228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5099,0,0,0,0,0,0.27228,0,0,0
1212,44.418,47.756,13,2,3,0.63594,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63594,0,0,0,0,0,0,0,0,0,0,0,0
1212,49.136,51.455,13,1,3,0.84708,0.1098,0,0,0,0,0,0,0,0,0,0,0,0,0.84708,0,0,0,0,0,0,0,0,0,0,0.1098,0
1212,55.653,56.732,19,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1212,74.843,77.662,18,2,1,0.5877,0.38864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5877,0,0,0,0,0.38864,0,0
1212,78.142,79.081,18,1,3,0,0.7714,0,0.67408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097325,0,0
1212,79.921,81.08,18,1,3,0,0.37374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37374,0,0,0,0,0,0
1212,87.018,91.036,23,1,3,0.55972,0.1997,0,0,0,0,0,0,0,0,0,0,0.1997,0,0,0,0,0,0,0,0,0,0,0,0.55972,0,0
1212,111.35,113.27,24,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1212,113.68,117.94,24,2,3,0.27753,0.64419,0,0,0,0,0,0,0.17448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46971,0,0.27753,0
1212,113.68,117.94,24,2,3,0.27753,0.64419,0,0,0,0,0,0,0.17448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46971,0,0.27753,0
1212,119.76,120.46,7,2,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1212,126.02,127.3,7,1,3,0.50497,0.18238,0,0,0,0,0,0,0.50497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18238,0,0
1212,128.26,129.26,7,2,3,0,0.46641,0,0,0,0,0,0.36684,0,0,0,0,0,0,0,0,0,0,0,0,0.024218,0,0,0,0.075353,0,0
1212,132.32,133.04,7,2,3,0,0.88339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88339,0,0,0
1212,138.19,139.05,7,1,3,0,0.84489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47315,0.37173,0,0
1212,157.2,159.78,20,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1212,157.2,159.78,20,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1212,172.58,173.64,15,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1212,189.39,189.99,10,2,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1212,193.35,195.25,14,1,3,0.74754,0.024276,0,0,0,0,0,0,0,0,0,0.024276,0,0,0,0.74754,0,0,0,0,0,0,0,0,0,0,0
