subID,onset,offset,refID,cue,type,prop-target,prop-other,cat-1,cat-2,cat-3,cat-4,cat-5,cat-6,cat-7,cat-8,cat-9,cat-10,cat-11,cat-12,cat-13,cat-14,cat-15,cat-16,cat-17,cat-18,cat-19,cat-20,cat-21,cat-22,cat-23,cat-24,cat-25
1229,72.447,74.033,8,2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1229,77.149,78.592,8,2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1229,80.496,81.878,8,2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1229,82.75,86.437,8,1,3,0.80111,0,0,0,0,0,0,0,0,0.80111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1229,82.75,86.437,8,1,3,0.80111,0,0,0,0,0,0,0,0,0.80111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1229,82.75,86.437,8,1,3,0.80111,0,0,0,0,0,0,0,0,0.80111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1229,98.047,98.417,21,2,3,0,0.13677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13677,0,0,0,0,0,0,0,0
1229,114.71,117.82,17,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1229,118.64,119.27,17,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1229,124.45,125.15,17,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1229,136.26,138.57,17,2,3,0.15966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15966,0,0,0,0,0,0,0,0
1229,139.54,140.87,17,1,3,0.29487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29487,0,0,0,0,0,0,0,0
1229,143.14,144.53,17,1,3,0.80949,0.11858,0,0,0,0,0,0,0.11858,0,0,0,0,0,0,0,0,0,0.80949,0,0,0,0,0,0,0,0
1229,145.63,146.51,17,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1229,148.34,149.6,17,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1229,155.59,157.21,17,1,3,0,0.93799,0,0,0,0,0,0.39597,0,0,0.54201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1229,185.73,187.23,9,2,3,0.80035,0.17742,0.17742,0,0,0,0,0,0,0,0.80035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1229,194.39,195.16,9,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1229,216.83,218.12,9,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1229,219.84,220.76,9,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1229,224.49,225.41,9,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1229,248.78,250.17,18,2,3,0,0.9519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26391,0,0.68799,0,0,0,0,0,0,0,0
1229,268.01,269.6,25,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1229,278.67,281.35,15,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1229,307.98,308.33,25,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1229,311.88,312.22,25,2,3,0,0.45705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45705,0,0,0,0
1229,318.22,318.53,15,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1229,334.42,335.71,24,2,3,0.34511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34511,0
1229,339.09,339.79,24,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1229,342.08,342.59,24,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1229,349.86,351.21,24,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1229,349.86,351.21,24,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1229,356.31,356.64,24,1,3,0.8775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8775,0
1229,377.3,378.01,24,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1229,380.2,382.83,7,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1229,385.44,385.88,7,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1229,387.14,388.56,7,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1229,398.78,399.38,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1229,400.85,403.88,7,1,3,0.90909,0.079904,0,0,0,0,0.079904,0,0.90909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1229,518.96,520.94,19,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
