subID,onset,offset,refID,cue,type,instigator,extra-cue,prop-target,prop-other,cat-1,cat-2,cat-3,cat-4,cat-5,cat-6,cat-7,cat-8,cat-9,cat-10,cat-11,cat-12,cat-13,cat-14,cat-15,cat-16,cat-17,cat-18,cat-19,cat-20,cat-21,cat-22,cat-23,cat-24,cat-25
1220,33.314,33.728,5,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1220,37.751,38.601,5,1,3,0,3,0,0.68633,0.68507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012551,0
1220,51.27,51.975,15,2,3,0,3,0.53225,0.37319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53225,0,0,0,0,0,0,0,0.37319,0,0
1220,53.841,55.79,23,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1220,53.841,55.79,15,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1220,53.841,55.79,15,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1220,76.09,76.505,3,2,3,1,1,0,0.8156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8156,0,0,0,0,0,0,0,0,0,0
1220,80.797,81.398,15,1,3,1,1,0,0.89181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89181,0,0
1220,99.583,100.41,21,2,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1220,127.39,127.87,4,2,3,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1220,128.99,129.48,4,2,3,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1220,131.04,131.83,4,1,3,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1220,150.2,151.15,20,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1220,152.6,153.91,20,2,3,1,1,0.1346,0.61023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61023,0,0,0,0.1346,0,0,0,0,0
1220,155.05,157,20,1,3,0,2,0.70927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70927,0,0,0,0,0
