covariate,pearson r,p-value
percent parent instigated,0.026823522316397456,0.8943456643215384
percent child instigated,-0.028393636558308292,0.8881982826442475
percent extra cues,-0.18826764879624608,0.34700016286220114
percent nonreq extra cues,0.16080277940589086,0.42298526445132534
percent req extra cues,-0.3295899764706986,0.09318238781705657
parent instigated accuracy,0.01404225501212848,0.9445786704968547
extra cue accuracy,-0.008451317693398889,0.9666286475859197
