covariate,pearson r,p-value
percent parent instigated,-0.024803888601332744,0.9022617431130329
percent child instigated,0.023406169377058444,0.9077455804979699
percent extra cues,-0.22562976946105298,0.257803448667197
percent nonreq extra cues,0.1321947052030968,0.5109914593175316
percent req extra cues,-0.3415076640047447,0.08126217988412857
parent instigated accuracy,0.06149807255099373,0.7605786496053242
extra cue accuracy,0.03233921288834026,0.8727789769059108
