covariate,pearson r,p-value
percent parent instigated,-0.07272633376396402,0.6780103924486119
percent child instigated,0.07283055241595733,0.6775737730575712
percent extra cues,-0.20876302087567739,0.22877502724139057
percent nonreq extra cues,0.11502576949528306,0.5105528947567056
percent req extra cues,-0.30437319584615385,0.07544487688195
parent instigated accuracy,-0.01793783525061803,0.9185378496421814
extra cue accuracy,-0.05538796970956509,0.7519858877431006
