subID,age,MCDI ProdTotal,MCDI ProdCountNoun,total num anaphora,percent one,percent split,percent pronoun,percent verbal,percent visual,percent parent instigated,percent child instigated,percent extra cues,percent no extra cue,percent not required of total anaphora,percent required of total anaphora,percent not required of total extra cues,percent required of total extra cues,overall accuracy,one accuracy,split accuracy,pronoun accuracy,verbal cue accuracy,visual cue accuracy,parent instigated accuracy,extra cue accuracy,required extra cue accuracy,not required extra cue accuracy
1225,21.1,22,8,46,4.347826087,0,95.65217391,52.17391304,47.82608696,65.2173913,34.7826087,67.39130435,32.60869565,17.39130435,50,25.80645161,74.19354839,0.695652174,1,0,0.681818182,0.75,0.636363636,0.6,0.612903226,0.565217391,0.75
1231,22.1,143,77,43,2.325581395,4.651162791,93.02325581,48.8372093,51.1627907,44.18604651,55.81395349,51.1627907,48.8372093,11.62790698,39.53488372,22.72727273,77.27272727,0.604651163,1,0.5,0.6,0.571428571,0.636363636,0.473684211,0.545454545,0.529411765,0.6
1210,19.2,80,34,37,0,24.32432432,75.67567568,75.67567568,24.32432432,91.89189189,8.108108108,51.35135135,48.64864865,24.32432432,27.02702703,47.36842105,52.63157895,0.702702703,0,0.555555556,0.75,0.75,0.555555556,0.735294118,0.736842105,0.7,0.777777778
1216,17.8,156,80,33,0,12.12121212,87.87878788,45.45454545,54.54545455,6.060606061,93.93939394,6.060606061,93.93939394,3.03030303,3.03030303,50,50,0.636363636,0,1,0.586206897,0.6,0.666666667,1,1,1,1
1223,21.8,254,114,100,12,3,85,81,19,81,19,70,30,44,26,62.85714286,37.14285714,0.63,0.833333333,0.666666667,0.6,0.604938272,0.736842105,0.679012346,0.7,0.692307692,0.704545455
1237,13,-,-,13,7.692307692,0,92.30769231,30.76923077,69.23076923,76.92307692,23.07692308,53.84615385,46.15384615,7.692307692,46.15384615,14.28571429,85.71428571,0.769230769,0,0,0.833333333,1,0.666666667,0.8,0.857142857,0.833333333,1
1229,16.3,36,9,40,0,0,100,70,30,47.5,52.5,90,10,62.5,27.5,69.44444444,30.55555556,0.75,0,0,0.75,0.785714286,0.666666667,0.578947368,0.75,0.636363636,0.8
1204,18.2,81,33,9,0,0,100,88.88888889,11.11111111,22.22222222,77.77777778,100,0,88.88888889,11.11111111,88.88888889,11.11111111,0.666666667,0,0,0.666666667,0.625,1,0,0.666666667,1,0.625
1208,15.2,-,-,34,8.823529412,5.882352941,85.29411765,52.94117647,47.05882353,64.70588235,35.29411765,58.82352941,41.17647059,14.70588235,44.11764706,25,75,0.764705882,0.333333333,0.5,0.827586207,0.833333333,0.6875,0.818181818,0.8,0.8,0.8
1230,17.7,127,68,59,6.779661017,27.11864407,66.10169492,42.37288136,57.62711864,38.98305085,61.01694915,66.10169492,33.89830508,5.084745763,61.01694915,7.692307692,92.30769231,0.576271186,0.75,0.25,0.692307692,0.48,0.647058824,0.652173913,0.58974359,0.611111111,0.333333333
1224,17.9,25,5,35,5.714285714,2.857142857,91.42857143,71.42857143,28.57142857,22.85714286,77.14285714,28.57142857,71.42857143,2.857142857,25.71428571,10,90,0.657142857,1,1,0.625,0.64,0.7,0.75,0.9,0.888888889,1
1205,18.1,44,16,19,5.263157895,0,94.73684211,47.36842105,52.63157895,89.47368421,10.52631579,94.73684211,5.263157895,0,94.73684211,0,100,0.631578947,1,0,0.611111111,0.666666667,0.6,0.647058824,0.611111111,0.611111111,0
1211,24.2,295,127,68,0,0,100,70.58823529,29.41176471,29.41176471,70.58823529,48.52941176,51.47058824,16.17647059,32.35294118,33.33333333,66.66666667,0.764705882,0,0,0.764705882,0.75,0.8,0.75,0.818181818,0.818181818,0.818181818
1236,15.2,-,-,28,10.71428571,0,89.28571429,50,50,71.42857143,28.57142857,50,50,14.28571429,35.71428571,28.57142857,71.42857143,0.392857143,0.333333333,0,0.4,0.428571429,0.357142857,0.3,0.428571429,0.6,0
1222,22.1,114,46,31,0,0,100,93.5483871,6.451612903,16.12903226,83.87096774,35.48387097,64.51612903,25.80645161,9.677419355,72.72727273,27.27272727,0.870967742,0,0,0.870967742,0.896551724,0.5,0.8,0.909090909,1,0.875
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,100,,,,,,,,,,,,,,,,,,,,,,
