subID,age,MCDI ProdTotal,MCDI ProdCountNoun,total num anaphora,percent one,percent split,percent pronoun,percent verbal,percent visual,overall accuracy,one accuracy,split accuracy,pronoun accuracy,verbal cue accuracy,visual cue accuracy
1225,21.1,22.0,8.0,46,0.043478260869565216,0.0,0.9565217391304348,0.5217391304347826,0.4782608695652174,0.8260869565217391,1.0,0,0.8181818181818182,0.75,0.9090909090909091
1212,21.7,226.0,94.0,82,0.04878048780487805,0.012195121951219513,0.9390243902439024,0.5487804878048781,0.45121951219512196,0.7926829268292683,0.75,1.0,0.7922077922077922,0.8444444444444444,0.7297297297297297
1234,15.9,-,-,43,0.0,0.0,1.0,0.8837209302325582,0.11627906976744186,0.7674418604651163,0,0,0.7674418604651163,0.7894736842105263,0.6
1228,17.9,44.0,23.0,20,0.0,0.0,1.0,0.6,0.4,0.5,0,0,0.5,0.3333333333333333,0.75
1231,22.1,143.0,77.0,43,0.023255813953488372,0.046511627906976744,0.9302325581395349,0.4883720930232558,0.5116279069767442,0.7209302325581395,1.0,0.0,0.75,0.7619047619047619,0.6818181818181818
1206,17.5,9.0,4.0,31,0.0967741935483871,0.0,0.9032258064516129,0.4838709677419355,0.5161290322580645,0.9032258064516129,0.6666666666666666,0,0.9285714285714286,0.8666666666666667,0.9375
1220,19.6,92.0,43.0,52,0.09615384615384616,0.0,0.9038461538461539,0.4423076923076923,0.5576923076923077,0.6538461538461539,0.8,0,0.6382978723404256,0.6956521739130435,0.6206896551724138
1210,19.2,80.0,34.0,37,0.0,0.24324324324324326,0.7567567567567568,0.7567567567567568,0.24324324324324326,0.6486486486486487,0,0.6666666666666666,0.6428571428571429,0.6428571428571429,0.6666666666666666
1227,22.0,443.0,155.0,44,0.11363636363636363,0.06818181818181818,0.8181818181818182,0.6590909090909091,0.3409090909090909,0.4772727272727273,0.2,0.3333333333333333,0.5277777777777778,0.5517241379310345,0.3333333333333333
1236,15.2,-,-,28,0.10714285714285714,0.0,0.8928571428571429,0.5,0.5,0.0,0.0,0,0.0,0.0,0.0
1201,24.3,-,-,25,0.0,0.0,1.0,0.44,0.56,0.4,0,0,0.4,0.36363636363636365,0.42857142857142855
1218,21.5,411.0,154.0,77,0.0,0.025974025974025976,0.974025974025974,0.7922077922077922,0.2077922077922078,0.4935064935064935,0,0.0,0.5066666666666667,0.4918032786885246,0.5
1204,18.2,81.0,33.0,9,0.0,0.0,1.0,0.8888888888888888,0.1111111111111111,0.8888888888888888,0,0,0.8888888888888888,0.875,1.0
1233,12.3,-,-,20,0.05,0.0,0.95,0.6,0.4,0.95,1.0,0,0.9473684210526315,0.9166666666666666,1.0
1222,22.1,114.0,46.0,31,0.0,0.0,1.0,0.9354838709677419,0.06451612903225806,0.8387096774193549,0,0,0.8387096774193549,0.8620689655172413,0.5
1215,18.2,30.0,2.0,18,0.0,0.0,1.0,0.6666666666666666,0.3333333333333333,0.4444444444444444,0,0,0.4444444444444444,0.4166666666666667,0.5
